,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Los Angeles Rams,2,28,517,121,4.3,3,2,36,38,60,294,1,1,4.3,17,53,223,0,4.2,15,21,142,4,40,15,10.29
2,Atlanta Falcons,2,29,458,102,4.5,4,2,26,28,53,279,3,2,4.7,17,42,179,0,4.3,8,13,110,1,30,15,7.41
3,Los Angeles Chargers,2,30,565,123,4.6,3,0,33,48,82,399,1,3,4.6,17,36,166,1,4.6,13,15,118,3,44.4,16.7,8.09
4,Green Bay Packers,2,31,476,130,3.7,1,0,31,55,81,379,3,1,4.3,23,41,97,0,2.4,5,12,70,3,30,5,13.94
5,Las Vegas Raiders,2,33,653,123,5.3,2,1,33,49,73,512,3,1,6.5,23,44,141,0,3.2,8,14,103,2,31.8,9.1,-2.05
6,Washington Commanders,2,33,635,125,5.1,,0,39,36,68,426,2,0,5.9,23,53,209,1,3.9,10,16,112,6,33.3,0,-1.91
7,San Francisco 49ers,2,34,537,117,4.6,3,3,35,41,57,332,3,0,5.4,18,56,205,1,3.7,12,11,75,5,28.6,14.3,0.43
8,Seattle Seahawks,2,34,651,131,5,4,0,37,46,70,460,3,4,6.2,21,57,191,0,3.4,13,11,76,3,30.4,17.4,-1.47
9,Houston Texans,2,34,656,129,5.1,1,1,43,46,67,415,3,0,5.6,25,55,241,2,4.4,12,14,105,6,26.3,5.3,-14.84
10,Arizona Cardinals,2,35,667,146,4.6,2,1,47,62,101,511,3,1,4.9,31,41,156,1,3.8,9,20,172,7,35,10,-1.29
11,Indianapolis Colts,2,36,535,100,5.4,4,1,35,41,61,339,4,3,5.3,20,36,196,1,5.4,10,11,98,5,31.3,25,-11.59
12,Philadelphia Eagles,2,37,601,113,5.3,2,1,39,37,63,361,1,1,5.6,16,48,240,3,5,16,10,87,7,41.2,11.8,-10.05
13,Tampa Bay Buccaneers,2,39,624,117,5.3,,0,35,40,66,471,2,0,6.7,23,47,153,2,3.3,7,14,100,5,40,0,-8.91
14,Denver Broncos,2,41,606,122,5,2,2,33,35,62,368,1,0,5.3,21,53,238,1,4.5,8,24,199,4,45.8,8.3,12.03
15,Jacksonville Jaguars,2,41,605,126,4.8,6,1,39,46,80,444,4,5,5.3,25,42,161,1,3.8,10,7,64,4,33.3,28.6,3.06
16,Cincinnati Bengals,2,43,727,141,5.2,4,0,43,55,87,539,4,4,6,28,51,188,1,3.7,10,13,108,5,36.4,18.2,-8.01
17,Minnesota Vikings,2,46,643,126,5.1,2,2,39,34,56,306,1,0,5,15,65,337,2,5.2,19,17,156,5,39.1,8.7,2.7
18,New Orleans Saints,2,46,620,129,4.8,1,1,42,47,68,397,5,0,5.2,26,53,223,0,4.2,10,14,94,6,45,5,-12.61
19,New England Patriots,2,47,747,114,6.6,2,0,37,50,66,630,3,2,8.4,32,39,117,1,3,4,19,142,1,40,10,-12.87
20,Kansas City Chiefs,2,47,610,120,5.1,,0,38,40,56,398,3,0,6.5,20,59,212,2,3.6,15,12,97,3,50,0,-12.08
21,Detroit Lions,2,48,605,111,5.5,2,1,33,37,55,393,4,1,6.7,19,52,212,2,4.1,11,12,90,3,38.1,9.5,-9.55
22,Buffalo Bills,2,50,586,97,6,2,2,30,24,41,248,3,0,5.3,13,50,338,3,6.8,15,12,86,2,42.9,9.5,-9.62
23,Tennessee Titans,2,53,756,130,5.8,5,2,42,48,73,456,3,3,6.1,21,55,300,3,5.5,13,10,74,8,40,16,-6.16
24,Carolina Panthers,2,53,671,111,6,2,0,35,36,56,389,2,2,6.8,19,54,282,2,5.2,15,23,189,1,55.6,11.1,-15.81
25,Baltimore Ravens,2,58,819,150,5.5,2,1,46,61,94,596,4,1,6.1,28,53,223,3,4.2,16,11,80,2,45.8,8.3,-6.28
26,Cleveland Browns,2,58,383,102,3.8,,0,25,33,52,292,5,0,5,17,44,91,1,2.1,5,13,61,3,40.9,0,0.63
27,New York Giants,2,61,910,148,6.1,1,0,57,57,82,555,3,1,6.3,29,60,355,4,5.9,19,24,195,9,45.8,4.2,-38.79
28,Dallas Cowboys,2,61,808,127,6.4,1,0,42,49,64,566,3,1,8.3,21,59,242,4,4.1,20,23,270,1,55,5,-30.16
29,Pittsburgh Steelers,2,63,789,126,6.3,3,1,44,38,55,490,3,2,8.4,22,68,299,4,4.4,21,9,84,1,47.6,9.5,-15.79
30,New York Jets,2,64,674,125,5.4,,0,44,37,57,397,4,0,6.4,23,63,277,3,4.4,14,10,95,7,54.5,0,-25.61
31,Miami Dolphins,2,66,751,125,6,,0,45,41,52,473,3,0,8.4,23,69,278,3,4,19,16,120,3,75,0,-32.48
32,Chicago Bears,2,79,765,107,7.1,1,0,39,36,48,468,7,1,9.2,20,56,297,3,5.3,16,11,78,3,52,4,-26.17
,Avg Team,,45.6,645.3,122.3,5.3,2,0.8,38.2,42.8,65.8,424.5,3,1.3,6,21.8,51.7,220.8,1.7,4.3,12.4,14.4,114.1,4,41.3,9.3,-8
,League Total,,1458,20650,3914,5.3,65,25,1222,1371,2106,13583,97,40,6,696,1654,7067,55,4.3,398,462,3650,128,41.3,9.3,
,Avg Tm/G,,22.8,322.7,61.2,5.3,1,0.4,19.1,21.4,32.9,212.2,1.5,0.6,6,10.9,25.8,110.4,0.9,4.3,6.2,7.2,57,2,41.3,9.3,
